pull_request_url,comment_id,diff_hunk
https://api.github.com/repos/adamtornhill/code-maat/pulls/15,33513420,"@@ -1,3 +1,5 @@+[![Build Status](https://travis-ci.org/AndreaCrotti/code-maat.png)](https://travis-ci.org/AndreaCrotti/code-maat)"
https://api.github.com/repos/adamtornhill/code-maat/pulls/42,95127516,"@@ -10,52 +10,106 @@ ""/some/path => G1 /another/path => G2"") +(def ^:const multi-regexp-group-spec+""^/some/path_\\w+_group1$ => G1+^/another/path_\\w+_group2$ => G2"")++(def ^:const multi-mixed-group-spec+""/some/path => G1+^/another/path/\\.*$ => G2"")+ (deftest parses-specification   (testing ""Single group""-    (is (= (g/text->group-specification ""/some/path => G1"")-           [{:path ""/some/path"" :name ""G1""}])))-  (testing ""Multiple groups""-    (is (= (g/text->group-specification multi-group-spec)-           [{:path ""/some/path"" :name ""G1""}-            {:path ""/another/path"" :name ""G2""}])))-   (testing ""No groups""+    (let [result (g/text->group-specification ""/some/path => G1"")]"
https://api.github.com/repos/anmonteiro/lumo/pulls/4,87304994,"@@ -35,7 +35,7 @@ Check out `lumo -h` for usage instructions and supported command line options. To build Lumo from source:  1. Make sure you have installed [Boot](http://boot-clj.com/) and [Yarn](https://yarnpkg.com/).-2. At the root of the repository, run: `boot dev`.+2. At the root of the repository, run: `boot release`."
https://api.github.com/repos/anmonteiro/lumo/pulls/24,88037369,"@@ -0,0 +1,35 @@+import net from 'net';"
https://api.github.com/repos/anmonteiro/lumo/pulls/33,88787684,"@@ -75,30 +76,35 @@ function consumeBuffer(buffer: string[], stream: stream$Writable | tty$WriteStre   } } -export function processLine(rl: readline$Interface, line: string, isMainRepl: boolean): void {+export function processLine(sessionId: number, rl: readline$Interface, line: string): void {"
https://api.github.com/repos/anmonteiro/lumo/pulls/41,89687582,"@@ -151,6 +151,7 @@         lumo.core         lumo.repl         lumo.repl-resources+        lumo.classpath"
https://api.github.com/repos/anmonteiro/lumo/pulls/88,103127359,"@@ -811,6 +811,19 @@   (deps/index-upstream-foreign-libs))  ;; --------------------+;; Introspection++(defn ^:export get-arglists+  ""Return the argument lists for the given symbol as string.""+  [s]+  (when-let [var (some->> s repl-read-string first (resolve-var @env/*compiler*))]+    (if-not (:macro var)+      (:arglists var)+      ;; filtering &env &form for macros+      (map #(filterv (complement '#{&env &form}) %)"
https://api.github.com/repos/anmonteiro/lumo/pulls/117,110930735,"@@ -34,10 +34,24 @@ export type CLIOptsType = {   args: string[], }; -export function createBanner(): string {++function getClojureScriptVersionString(): string {   // $FlowFixMe: we know for sure this file will exist.-  return `Lumo ${lumoVersion}-ClojureScript ${lumo.load('clojurescript-version')}"
https://api.github.com/repos/anmonteiro/lumo/pulls/140,113082874,"@@ -362,7 +362,7 @@ export default function startClojureScriptEngine(opts: CLIOptsType): void {       setPrintFns(new DiscardingSender());        execute(-        ""(require '[lumo.repl :refer [find-doc] :refer-macros [dir doc]])"",+        ""(require '[lumo.repl :refer [find-doc] :refer-macros [dir doc source]])"","
https://api.github.com/repos/anmonteiro/lumo/pulls/168,118409030,"@@ -75,6 +76,8 @@ Usage:  lumo [init-opt*] [main-opt] [arg*]                                  control     -s, --static-fns             Generate static dispatch function calls     -n x, --socket-repl x        Enable a socket REPL where x is port or IP:port+    -                            Evaluate expressions from stdin; prints"
https://api.github.com/repos/anmonteiro/lumo/pulls/169,119037104,"@@ -133,22 +135,31 @@ export function processLine(replSession: REPLSession, line: string): void {   return undefined; } +function stopReverseSearch(+  replSession: REPLSession,+  clear: boolean = true,+): void {+  const session = replSession;+  session.isReverseSearch = false;+  session.reverseSearchBuffer = '';++  if (clear) {+    session.rl.write(null, {"
https://api.github.com/repos/anmonteiro/lumo/pulls/177,120193925,"@@ -806,6 +807,57 @@                            (filter matches? (public-syms ns)))))                   (all-ns))))) +;; Taken from planck eval implementation+;; The following atoms and fns set up a scheme to+;; emit function values into JavaScript as numeric+;; references that are looked up.++(defonce ^:private fn-index (atom 0))"
https://api.github.com/repos/anmonteiro/lumo/pulls/105,125154005,"@@ -1370,6 +1364,7 @@                                     (merge opts {:ns (symbol ns-sym)})                                     (fn [{:keys [ns value error] :as ret}]                                       (try-                                        (apply value socket fn-args)+                                        ;; TODO: do we wanna splice args?+                                        (value socket fn-args)"
https://api.github.com/repos/anmonteiro/lumo/pulls/195,125171069,"@@ -902,6 +902,35 @@           (recur (rt/read-char reader)))         (str sb))))) +(defn get-data-readers*+  ""Returns the merged data reader mappings.""+  []+  (reduce (fn [data-readers url+source]+            (let [url      (aget url+source ""url"")"
https://api.github.com/repos/anmonteiro/lumo/pulls/215,129089510,"@@ -35,13 +35,27 @@                              conj munged-ns)))                {:requires [] :provides []}))) -(defn parse-lib-  ""Converts a closure lib path into a structure which describes the module.""+(defn all-files+  ""If the given file is not a directory, returns a list containing the file,"
https://api.github.com/repos/anmonteiro/lumo/pulls/238,134546712,"@@ -16,3 +16,8 @@   ([] (exit nil))   ([code]    (js/process.exit code)))++(defn run-main-cli-fn"
https://api.github.com/repos/anmonteiro/lumo/pulls/252,137436829,"@@ -1965,75 +1963,83 @@                (add-dependency-sources compile-opts)                deps/dependency-order                (compile-sources compiler-stats compile-opts-                 (fn [sources]-                   (let [node? (= :nodejs (:target all-opts))-                         js-sources (-> (map add-core-macros-if-cljs-js sources)-                                      (add-js-sources all-opts)-                                      (as-> sources-                                          ((if node? -compile identity-async)-                                           (io/resource ""cljs/nodejs.cljs"") all-opts-                                           (fn [res]-                                             (let [js-sources (cond-> sources-                                                                node? (concat [res]))]-                                               (-> js-sources-                                                 deps/dependency-order-                                                 #_(add-preloads all-opts)-                                                 add-goog-base-                                                 (as-> sources-                                                   ((if node? -compile identity-async)-                                                    (io/resource ""cljs/nodejscli.cljs"") all-opts-                                                    (fn [res]-                                                      (let [js-sources (cond-> sources-                                                                         node?-                                                                         (concat [res]))-                                                            _ (when (:emit-constants all-opts)-                                                                (lcomp/emit-constants-table-to-file-                                                                  (::ana/constant-table @env/*compiler*)-                                                                  (constants-filename all-opts)))-                                                            ;; TODO: enable this-                                                            ;; _ (when (:infer-externs all-opts)-                                                            ;;     (comp/emit-inferred-externs-to-file-                                                            ;;       (reduce util/map-merge {}-                                                            ;;         (map (comp :externs second)-                                                            ;;           (get @compiler-env ::ana/namespaces)))-                                                            ;;       (str (util/output-directory all-opts) ""/inferred_externs.js"")))-                                                            optim (:optimizations all-opts)-                                                            ret (if (and optim (not= optim :none))-                                                                  (do-                                                                    (when-let [fname (:source-map all-opts)]-                                                                      (assert (or (nil? (:output-to all-opts)) (:modules opts) (string? fname))-                                                                        (str "":source-map must name a file when using :whitespace, ""-                                                                             "":simple, or :advanced optimizations with :output-to""))-                                                                      (doall (map #(source-on-disk all-opts %) js-sources)))-                                                                    (if (:modules all-opts)-                                                                      (do nil-                                                                          #_(->>-                                                                              (apply optimize-modules all-opts js-sources)-                                                                              (output-modules all-opts js-sources)))-                                                                      (let [fdeps-str (foreign-deps-str all-opts-                                                                                        (filter foreign-source? js-sources))-                                                                            all-opts  (assoc all-opts-                                                                                        :foreign-deps-line-count-                                                                                        (- (count (.split fdeps-str #""\r?\n"")) 1))]-                                                                        (->>-                                                                          (util/measure compiler-stats-                                                                            (str ""Optimizing "" (count js-sources) "" sources"")-                                                                            (apply optimize all-opts-                                                                              (remove foreign-source? js-sources)))-                                                                          (add-wrapper all-opts)-                                                                          (add-source-map-link all-opts)-                                                                          (str fdeps-str)-                                                                          (add-header all-opts)-                                                                          (output-one-file all-opts)))))-                                                                  (apply output-unoptimized all-opts js-sources))]-                                                        ;; emit Node.js bootstrap script for :none & :whitespace optimizations-                                                        (when (and (= (:target opts) :nodejs)-                                                                (not= (:optimizations opts) :whitespace))-                                                          (let [outfile (js/$$LUMO_GLOBALS.path.join (util/output-directory opts)-                                                                          ""goog"" ""bootstrap"" ""nodejs.js"")]-                                                            (util/mkdirs outfile)-                                                            (spit outfile (slurp (io/resource ""cljs/bootstrap_node.js"")))))-                                                        ret))))))))))]))))))))))+                                (fn [sources]+                                  (if (every? #(instance? JavaScriptFile %) sources)"
